image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.825566,van,car,False
drive_022,2,1,0.905576,car,car,True
drive_033,2,2,0.883734,truck,bus,False
drive_033,6,9,0.87739,car,car,True
drive_033,7,3,0.784602,car,car,True
drive_033,8,4,0.722284,car,car,True
drive_033,9,5,0.758076,car,car,True
drive_033,13,11,0.863172,car,car,True
drive_033,14,7,0.868591,car,car,True
drive_033,15,8,0.944018,car,car,True
drive_033,16,10,0.918882,car,car,True
drive_033,17,6,0.802386,car,car,True
drive_033,18,12,0.92126,bus,van,False
drive_033,19,1,0.908705,bus,van,False
drive_038,1,3,0.931932,car,car,True
drive_038,4,16,0.876989,car,car,True
drive_038,8,12,0.902482,car,car,True
drive_038,9,4,0.904456,car,car,True
drive_038,12,5,0.854768,van,bus,False
drive_038,13,2,0.97637,car,car,True
drive_008,1,1,0.876177,truck,bus,False
drive_008,3,6,0.828002,car,car,True
drive_008,4,4,0.824745,car,car,True
drive_008,6,3,0.91728,car,truck,False
drive_008,7,14,0.854444,car,car,True
drive_008,8,13,0.789214,car,car,True
drive_008,9,15,0.100754,car,car,True
drive_008,11,12,0.81126,car,truck,False
drive_008,15,5,0.88688,car,truck,False
drive_008,17,11,0.865709,car,car,True
drive_008,21,2,0.897089,car,car,True
drive_008,24,7,0.840523,car,car,True
